what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1467025274377
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1467025274408
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1467025274408
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1467025274736
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1467025274767
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1467025274767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467025281038
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1467025281413
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1467025281459
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1467025281459
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1467025281475
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1467025281475
opened,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1467025281693
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1467025281725
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1467025281725
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1467025283721
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467025336699
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467025341847
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467025342533
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467025344702
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467025346418
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467025359537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467025362127
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467025366869
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1467025374420
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1467025374420
