what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1468228777239
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468228892910
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1468228907838
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468228909662
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.add.block.comment",1468228915817
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.add.block.comment",1468228931043
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1468228942173
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1468228954471
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1468228957847
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468228957909
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468228959267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468228962512
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468228962528
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468228962637
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468228962800
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468228963849
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468228964314
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1468228964320
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468229028098
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468229034144
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468229035073
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468229041602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468229044028
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1468229046781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468229047063
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468229059916
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1468229069504
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468229072680
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468229072687
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468229072833
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468229073071
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468229073076
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468229074146
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468229074201
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1468229074604
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468229075665
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468229078887
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468229078903
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1468229081057
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468229086751
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1468229088686
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1468229093787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468229096783
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468229096783
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468229096892
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468229096986
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468229097816
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468229098850
