what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1468057963721
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1468057963721
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1468057963721
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1468057963721
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1468057963721
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1468057963721
os,sysinfo,,,"win32",1468057963736
arch,sysinfo,,,"x86_64",1468057963736
ws,sysinfo,,,"win32",1468057963736
locale,sysinfo,,,"en_US",1468057963736
processors,sysinfo,,,"2",1468057963736
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1468057963736
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1468057963736
java.specification.name,sysinfo,,,"Java Platform API Specification",1468057963736
java.specification.vendor,sysinfo,,,"Oracle Corporation",1468057963736
java.specification.version,sysinfo,,,"1.7",1468057963736
java.vendor,sysinfo,,,"Oracle Corporation",1468057963736
java.version,sysinfo,,,"1.7.0_79",1468057963736
java.vm.info,sysinfo,,,"mixed mode",1468057963736
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1468057963736
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1468057963736
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1468057963736
java.vm.specification.version,sysinfo,,,"1.7",1468057963736
java.vm.vendor,sysinfo,,,"Oracle Corporation",1468057963736
java.vm.version,sysinfo,,,"24.79-b02",1468057963736
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1468057963736
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1468058005415
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1468058008639
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1468058008717
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1468058009060
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1468058009075
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1468058011474
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468058015805
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468058015805
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468058015898
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468058016039
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468058016944
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1468058019404
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1468058019426
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1468058019453
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468058108718
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1468058112103
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1468058121814
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468058131914
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1468058133722
