what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1468579761430
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1468579761445
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1468579761445
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1468579761445
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1468579761461
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1468579761461
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1468579761461
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1468579761461
started,bundle,org.testng.eclipse,6.9.12.201607091356,"org.testng.eclipse",1468579761477
os,sysinfo,,,"win32",1468579761477
arch,sysinfo,,,"x86_64",1468579761477
ws,sysinfo,,,"win32",1468579761477
locale,sysinfo,,,"en_US",1468579761477
processors,sysinfo,,,"2",1468579761477
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1468579761477
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1468579761477
java.specification.name,sysinfo,,,"Java Platform API Specification",1468579761477
java.specification.vendor,sysinfo,,,"Oracle Corporation",1468579761477
java.specification.version,sysinfo,,,"1.7",1468579761477
java.vendor,sysinfo,,,"Oracle Corporation",1468579761477
java.version,sysinfo,,,"1.7.0_79",1468579761477
java.vm.info,sysinfo,,,"mixed mode",1468579761477
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1468579761477
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1468579761477
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1468579761477
java.vm.specification.version,sysinfo,,,"1.7",1468579761477
java.vm.vendor,sysinfo,,,"Oracle Corporation",1468579761477
java.vm.version,sysinfo,,,"24.79-b02",1468579761477
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1468579761508
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468579785279
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468579785342
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1468579795605
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468579795871
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1468579795902
