what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1467631350997
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1467631354320
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1467631359562
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1467631362308
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1467631389000
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1467631393695
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1467631401215
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1467631411152
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1467631416690
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1467631424007
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1467631429842
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1467631439124
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1467631446737
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1467631455738
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467631479966
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467631481557
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467631484631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467631484631
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467631484725
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467631484879
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467631485722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467631515598
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1467631548230
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467631580642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467631616286
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1467631736948
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1467631747336
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1467631781917
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1467631793195
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1467631814488
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1467631822553
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1467631825891
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1467631833317
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1467631839728
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1467631844595
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467631879725
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467631881192
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1467631892564
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1467631901065
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467631929332
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467631937521
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467631959501
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467631960905
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1467631983368
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1467631990996
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.add.block.comment",1467632034410
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467632038528
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467632040182
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1467632054143
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1467632054393
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1467632056312
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1467632070242
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1467632125497
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1467632127837
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467632133531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467632133749
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1467632133780
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1467632141752
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467632151939
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467632153514
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467632156621
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1467632156621
